epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.693,1.03436,2.601,1.23397,0.76606,0.31244,0.29916,0.22743,0.92376,3.58913,1.14957,0.00332192,0.00332192,0.00332192
2,488.189,0.96601,1.40114,1.17375,0.48684,0.2827,0.23219,0.17837,0.94925,3.02545,1.18113,0.00658936,0.00658936,0.00658936
3,729.886,1.02611,1.36258,1.17958,0.5603,0.36828,0.30479,0.21425,1.21922,2.81494,1.37482,0.00979081,0.00979081,0.00979081
4,969.125,1.06662,1.40986,1.20554,0.69097,0.20739,0.16092,0.092,1.44441,6.24963,1.63274,0.009703,0.009703,0.009703
5,1238.36,1.0213,1.32728,1.17926,0.57593,0.36021,0.30036,0.21732,1.03276,2.5383,1.24555,0.009604,0.009604,0.009604
