epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,694.01,0.03808,2.5398,0.69782,0.83119,0.7728,0.86428,0.77374,0.02958,1.9372,0.51241,0.0700456,0.00332827,0.00332827
2,1320.39,0.03812,2.50879,0.6969,0.8628,0.79035,0.88358,0.80246,0.03008,1.70837,0.52001,0.0397315,0.00634755,0.00634755
3,1953.65,0.03889,2.5136,0.69795,0.84694,0.8053,0.87403,0.78243,0.03112,1.7545,0.51809,0.00914605,0.00909539,0.00909539
4,2590.16,0.03999,2.56846,0.70178,0.8277,0.7908,0.8713,0.77827,0.03123,1.82993,0.5303,0.0087087,0.0087087,0.0087087
5,3221.43,0.03944,2.52742,0.70211,0.77614,0.72545,0.81608,0.72241,0.03361,2.5177,0.54409,0.00827826,0.00827826,0.00827826
6,3859.53,0.03978,2.49634,0.70065,0.86574,0.80156,0.87993,0.78623,0.03055,1.6426,0.51662,0.00784783,0.00784783,0.00784783
7,4500.22,0.03914,2.41507,0.69952,0.85933,0.79285,0.88434,0.79555,0.0325,1.7434,0.52976,0.00741739,0.00741739,0.00741739
8,5200.12,0.03927,2.37625,0.70014,0.87411,0.81161,0.90161,0.81297,0.03136,1.6238,0.53196,0.00698696,0.00698696,0.00698696
9,5849.61,0.03911,2.3943,0.69879,0.88365,0.8059,0.89233,0.80579,0.03,1.58306,0.51033,0.00655652,0.00655652,0.00655652
10,6483.35,0.03798,2.33769,0.69541,0.7933,0.69845,0.78471,0.70129,0.03443,3.17422,0.55021,0.00612609,0.00612609,0.00612609
11,7104.43,0.03838,2.31591,0.69566,0.89097,0.8259,0.90708,0.82194,0.02947,1.51175,0.50712,0.00569565,0.00569565,0.00569565
12,7732.2,0.03802,2.26464,0.69434,0.81774,0.71328,0.79045,0.70357,0.03505,3.02457,0.5589,0.00526522,0.00526522,0.00526522
13,8384.94,0.03745,2.21444,0.69177,0.88973,0.84271,0.90887,0.83062,0.02828,1.43161,0.50861,0.00483478,0.00483478,0.00483478
14,10572.4,0.02937,1.71596,0.65768,0.78314,0.67537,0.74951,0.67005,0.03578,3.7332,0.55662,0.00440435,0.00440435,0.00440435
15,11609.1,0.0271,1.5414,0.64586,0.85594,0.78886,0.86612,0.79109,0.02936,1.91994,0.50983,0.00307,0.00307,0.00307
16,12641.4,0.02583,1.41616,0.63999,0.92195,0.86762,0.93214,0.86752,0.0251,1.23081,0.48418,0.00218421,0.00218421,0.00218421
17,13703.5,0.0251,1.35073,0.63564,0.928,0.8678,0.93467,0.87113,0.02439,1.15204,0.47515,0.00166316,0.00166316,0.00166316
18,14614.1,0.02469,1.30328,0.6344,0.93652,0.87043,0.93618,0.87718,0.02344,1.11061,0.47174,0.00065,0.00065,0.00065
