epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1439,1.05403,1.98774,1.32715,0.11506,0.412,0.12732,0.06126,1.66325,3.95926,1.92402,0.0700456,0.00332827,0.00332827
2,3102.54,0.98524,1.76338,1.28539,0.25546,0.46211,0.27135,0.17546,1.21503,2.21911,1.49732,0.0398258,0.00644177,0.00644177
3,4817.11,0.87814,1.59666,1.22041,0.50398,0.46645,0.45735,0.34333,0.85247,1.70805,1.131,0.00938593,0.00933527,0.00933527
