epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,995.585,0.9911,1.95208,1.29102,0.14836,0.29226,0.14013,0.06177,1.86933,3.35911,2.36055,0.0700375,0.00332916,0.00332916
2,1878.89,0.94636,1.73727,1.26604,0.1674,0.25725,0.12313,0.06122,1.63593,3.15274,2.0802,0.0398727,0.0064976,0.0064976
3,2723.56,0.86459,1.62609,1.21748,0.39336,0.46568,0.38553,0.29192,0.91491,1.85675,1.20431,0.00954275,0.00950103,0.00950103
4,3449.49,0.79749,1.52169,1.17955,0.39871,0.54757,0.47968,0.38604,0.73402,1.73541,1.04007,0.0092575,0.0092575,0.0092575
5,4185.58,0.74589,1.42086,1.15042,0.39093,0.45123,0.37292,0.28442,0.93891,2.04412,1.26992,0.00901,0.00901,0.00901
6,4928.71,0.71972,1.36863,1.13767,0.48896,0.52666,0.49527,0.41099,0.64566,1.655,0.95953,0.0087625,0.0087625,0.0087625
7,5679.18,0.6932,1.31978,1.12728,0.54806,0.58833,0.58534,0.4933,0.60924,1.24441,0.92577,0.008515,0.008515,0.008515
8,6612.45,0.6743,1.27651,1.11948,0.41278,0.52072,0.45203,0.37359,0.65867,1.80161,0.96691,0.0082675,0.0082675,0.0082675
9,7700.76,0.65679,1.23574,1.10852,0.5874,0.63235,0.63368,0.53476,0.59635,1.27584,0.9064,0.00802,0.00802,0.00802
10,8940.02,0.64202,1.20284,1.1025,0.57456,0.64333,0.65026,0.56588,0.55655,1.13896,0.89091,0.0077725,0.0077725,0.0077725
11,9634.19,0.62739,1.17816,1.09264,0.57988,0.63727,0.63798,0.55819,0.52526,1.14925,0.85335,0.007525,0.007525,0.007525
12,10265.1,0.62099,1.1566,1.08953,0.60533,0.6379,0.65347,0.57594,0.49596,1.11393,0.83613,0.0072775,0.0072775,0.0072775
13,10934.8,0.60687,1.11518,1.0837,0.65463,0.67905,0.70543,0.62225,0.48841,1.07866,0.83342,0.00703,0.00703,0.00703
14,11633.4,0.60217,1.09386,1.08015,0.62602,0.65215,0.68783,0.60586,0.52752,1.11435,0.85958,0.0067825,0.0067825,0.0067825
15,12399.2,0.58493,1.06448,1.07346,0.6739,0.68325,0.71703,0.64061,0.47052,1.00047,0.82112,0.006535,0.006535,0.006535
16,13180.2,0.58516,1.05276,1.06963,0.65491,0.66318,0.71458,0.6397,0.47178,1.02918,0.81962,0.0062875,0.0062875,0.0062875
17,13970.1,0.58164,1.0361,1.06679,0.70497,0.70775,0.75502,0.67756,0.45357,0.9109,0.8079,0.00604,0.00604,0.00604
18,14908,0.56628,1.01212,1.06521,0.67857,0.68108,0.71976,0.64583,0.45569,0.98829,0.81237,0.0057925,0.0057925,0.0057925
19,15678.8,0.56294,1.0012,1.06407,0.7546,0.70041,0.76148,0.6878,0.43206,0.88738,0.79653,0.005545,0.005545,0.005545
20,16423.3,0.55515,0.97628,1.05811,0.74075,0.68849,0.76223,0.68955,0.43404,0.87598,0.79123,0.0052975,0.0052975,0.0052975
21,17184.1,0.54733,0.95796,1.05299,0.76413,0.72761,0.77976,0.70759,0.43799,0.87884,0.79325,0.00505,0.00505,0.00505
22,17954.3,0.54153,0.92537,1.05176,0.73225,0.7369,0.77606,0.70398,0.41874,0.86088,0.77859,0.0048025,0.0048025,0.0048025
23,18793.6,0.53595,0.92172,1.04931,0.77534,0.73506,0.795,0.72402,0.40889,0.84906,0.76947,0.004555,0.004555,0.004555
24,20636.5,0.52909,0.90441,1.04526,0.76086,0.73826,0.79908,0.72879,0.41402,0.79927,0.77649,0.0043075,0.0043075,0.0043075
25,22554,0.52572,0.88931,1.04435,0.79009,0.75881,0.81301,0.7426,0.40655,0.77889,0.77226,0.00406,0.00406,0.00406
26,24534.7,0.51176,0.87227,1.03907,0.79483,0.74696,0.81405,0.74812,0.40611,0.80402,0.77166,0.0038125,0.0038125,0.0038125
27,25860.5,0.506,0.86092,1.0363,0.79675,0.77349,0.82042,0.75166,0.4023,0.79292,0.76882,0.003565,0.003565,0.003565
28,26665.2,0.50747,0.85106,1.03643,0.80018,0.77935,0.82502,0.76205,0.38833,0.75974,0.75902,0.0033175,0.0033175,0.0033175
29,27441.4,0.4987,0.8324,1.03395,0.81225,0.76774,0.82924,0.76842,0.37571,0.72468,0.74887,0.00307,0.00307,0.00307
