epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1100.94,0.57169,0.88648,1.05104,0.82985,0.7852,0.86044,0.77582,0.28398,11.8754,0.56631,0.0700456,0.00332827,0.00332827
2,2463.21,0.56923,0.86789,1.05126,0.66305,0.56855,0.61162,0.53272,0.35973,17.4091,0.6251,0.0397128,0.00632885,0.00632885
3,3809.22,0.57057,0.86512,1.04939,0.82778,0.7599,0.85631,0.76194,0.29261,11.2407,0.57222,0.0090471,0.00899644,0.00899644
