epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1005.84,0.74713,2.04404,1.17135,0.40892,0.35245,0.2596,0.184,0.91689,2.76978,1.27145,0.000302307,0.000302307,0.000302307
2,2089.08,0.75158,1.36589,1.15737,0.46965,0.50373,0.36009,0.28842,0.70934,2.1687,1.03514,0.000575344,0.000575344,0.000575344
3,2956.67,0.74422,1.23192,1.14734,0.48739,0.51387,0.38269,0.30202,0.72692,2.19767,1.03688,0.000818384,0.000818384,0.000818384
4,3916.23,0.73408,1.1655,1.14196,0.47432,0.53384,0.38594,0.31119,0.67717,2.08254,1.0068,0.000774013,0.000774013,0.000774013
5,4793.34,0.7,1.07941,1.11979,0.48138,0.56763,0.40258,0.32458,0.68866,1.97878,1.00402,0.000729018,0.000729018,0.000729018
6,5726.33,0.68399,1.02351,1.1169,0.48622,0.57347,0.40169,0.32827,0.66527,2.33592,0.99226,0.000684022,0.000684022,0.000684022
7,6612.88,0.66616,0.96918,1.10594,0.51145,0.58225,0.41451,0.34291,0.62043,2.26356,0.95964,0.000639027,0.000639027,0.000639027
8,7593.23,0.65587,0.9388,1.09938,0.52377,0.59741,0.41777,0.34817,0.6164,2.28471,0.95366,0.000594031,0.000594031,0.000594031
9,8479.53,0.64078,0.90454,1.09208,0.51949,0.60121,0.42415,0.35594,0.58739,2.11265,0.93523,0.000549036,0.000549036,0.000549036
10,9562.83,0.63023,0.87015,1.08607,0.54721,0.59114,0.42291,0.3591,0.571,2.38654,0.91856,0.00050404,0.00050404,0.00050404
11,10955,0.51341,0.76754,1.0442,0.53395,0.59509,0.41476,0.35238,0.59225,2.42862,0.94002,0.000459045,0.000459045,0.000459045
12,12097.3,0.49847,0.71826,1.03174,0.54176,0.61787,0.42806,0.36726,0.55926,2.2851,0.90865,0.000414049,0.000414049,0.000414049
13,13416.1,0.47914,0.67016,1.02021,0.5531,0.63597,0.43922,0.37829,0.54618,2.13186,0.8974,0.000369054,0.000369054,0.000369054
14,14296.3,0.46806,0.6345,1.01188,0.55164,0.6309,0.43631,0.37797,0.53692,2.31156,0.89285,0.000324058,0.000324058,0.000324058
15,15165.6,0.45201,0.59639,1.00069,0.55616,0.64637,0.44304,0.38821,0.50903,2.36908,0.87313,0.000279063,0.000279063,0.000279063
16,16028.2,0.4395,0.56469,0.99328,0.57906,0.65298,0.4526,0.40061,0.50831,2.29773,0.87447,0.000234068,0.000234068,0.000234068
17,16869,0.42864,0.52961,0.98556,0.5687,0.66897,0.45248,0.4016,0.4942,2.36346,0.86083,0.000189072,0.000189072,0.000189072
18,17728.2,0.4142,0.50737,0.97716,0.58008,0.66999,0.45378,0.40618,0.47743,2.34253,0.85116,0.000144077,0.000144077,0.000144077
19,18534.6,0.40313,0.47851,0.97259,0.57666,0.67845,0.45975,0.41295,0.47254,2.33294,0.8497,9.9081e-05,9.9081e-05,9.9081e-05
20,19412.5,0.39573,0.46106,0.97025,0.58278,0.67349,0.45715,0.4124,0.465,2.30043,0.844,5.40855e-05,5.40855e-05,5.40855e-05
