epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.368,0.57301,0.93336,1.05857,0.81955,0.76964,0.84682,0.77643,0.40812,0.68332,0.75345,0.0700456,0.00332827,0.00332827
2,1010.7,0.55821,0.9076,1.04976,0.7495,0.67194,0.77484,0.69372,0.45736,0.95485,0.78757,0.0397818,0.0063978,0.0063978
3,1562.36,0.56133,0.92606,1.05173,0.78122,0.73682,0.8245,0.74685,0.44434,0.71661,0.77846,0.00925399,0.00920334,0.00920334
4,2116.08,0.55564,0.90405,1.05026,0.79099,0.71323,0.81135,0.72105,0.44958,0.80477,0.79186,0.008812,0.008812,0.008812
5,2670.97,0.5484,0.8987,1.04914,0.82907,0.74847,0.8448,0.76865,0.41983,0.67971,0.76434,0.008416,0.008416,0.008416
6,3222.93,0.54682,0.89028,1.04383,0.83165,0.77243,0.85393,0.77232,0.41728,0.62009,0.76008,0.00802,0.00802,0.00802
7,3785.2,0.54413,0.87088,1.04425,0.82579,0.74529,0.8477,0.76882,0.4262,0.67305,0.77189,0.007624,0.007624,0.007624
8,4353.57,0.52898,0.8473,1.04087,0.72887,0.66945,0.74232,0.65159,0.5228,0.99492,0.84849,0.007228,0.007228,0.007228
9,4926.86,0.52971,0.85096,1.03748,0.82624,0.80704,0.87901,0.80755,0.39895,0.56052,0.75264,0.006832,0.006832,0.006832
10,5498.08,0.52998,0.84351,1.03922,0.83321,0.76124,0.85593,0.77854,0.42176,0.59951,0.76685,0.006436,0.006436,0.006436
11,6487.04,0.51635,0.80769,1.03113,0.84509,0.82168,0.88718,0.81141,0.39892,0.55238,0.74768,0.00604,0.00604,0.00604
12,8037.48,0.50523,0.79587,1.02833,0.85627,0.77364,0.87409,0.80311,0.37783,0.58962,0.73748,0.005644,0.005644,0.005644
13,9040.24,0.5051,0.78271,1.02867,0.88171,0.78602,0.88776,0.81631,0.37787,0.53636,0.73692,0.005248,0.005248,0.005248
14,10585.2,0.49512,0.77559,1.02452,0.88442,0.81678,0.89775,0.83238,0.36425,0.50576,0.73181,0.004852,0.004852,0.004852
15,11752.4,0.48924,0.76119,1.02019,0.87775,0.80828,0.89077,0.83175,0.35672,0.51582,0.72126,0.004456,0.004456,0.004456
16,12945.2,0.36994,0.59743,0.96234,0.81749,0.7118,0.81315,0.73556,0.44109,0.82266,0.78577,0.00406,0.00406,0.00406
17,13734.1,0.353,0.55417,0.95512,0.89024,0.80309,0.89304,0.8305,0.35033,0.48553,0.70838,0.003664,0.003664,0.003664
18,14382.5,0.34509,0.52852,0.95033,0.89884,0.84004,0.91371,0.85549,0.34683,0.44594,0.71678,0.003268,0.003268,0.003268
19,15065.2,0.33211,0.50375,0.94563,0.9019,0.85937,0.92276,0.86285,0.33586,0.40846,0.70973,0.002872,0.002872,0.002872
20,15816.1,0.32692,0.48772,0.94116,0.89002,0.81292,0.89601,0.83614,0.35257,0.49135,0.71747,0.002476,0.002476,0.002476
21,16551.5,0.31772,0.4633,0.93568,0.92227,0.85883,0.92553,0.87367,0.31095,0.3754,0.69564,0.00208,0.00208,0.00208
22,17280.7,0.31069,0.44203,0.9306,0.91224,0.85432,0.92344,0.86889,0.32089,0.40107,0.70089,0.001684,0.001684,0.001684
23,17981.4,0.30469,0.42768,0.929,0.92697,0.86504,0.9344,0.88234,0.31185,0.37934,0.70093,0.001288,0.001288,0.001288
24,18677.4,0.29717,0.41104,0.92795,0.9309,0.86884,0.93467,0.88185,0.30866,0.371,0.69727,0.000892,0.000892,0.000892
25,19557.4,0.29322,0.39777,0.9259,0.92891,0.87321,0.93776,0.88719,0.30066,0.36459,0.69323,0.000496,0.000496,0.000496
