epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.199,1.01032,2.7995,1.20001,0.45141,0.52721,0.45037,0.33806,0.8156,1.60221,1.05412,0.00332219,0.00332219,0.00332219
2,241.103,0.91599,1.44673,1.14202,0.47993,0.49865,0.42047,0.29313,1.01097,1.92806,1.23125,0.00658963,0.00658963,0.00658963
3,374.538,0.96535,1.41149,1.14733,0.42982,0.25741,0.23739,0.16199,1.04786,3.26494,1.27482,0.00979107,0.00979107,0.00979107
4,513.338,0.98266,1.41064,1.15215,0.4986,0.55548,0.4823,0.35324,0.93498,1.59603,1.1809,0.009703,0.009703,0.009703
5,655.572,0.9245,1.31241,1.12489,0.60751,0.58536,0.5896,0.44822,0.8308,1.33381,1.14815,0.009604,0.009604,0.009604
6,797.905,0.88953,1.24711,1.10945,0.61642,0.59464,0.60367,0.46763,0.77016,1.19617,1.12242,0.009505,0.009505,0.009505
7,944.224,0.86592,1.2004,1.09876,0.65206,0.60091,0.62452,0.48664,0.75341,1.16144,1.10193,0.009406,0.009406,0.009406
8,1085.35,0.84638,1.16013,1.09065,0.59081,0.6339,0.6076,0.47071,0.77558,1.28676,1.09782,0.009307,0.009307,0.009307
9,1224.64,0.83693,1.1345,1.08681,0.67383,0.62061,0.65915,0.5189,0.72073,1.02937,1.07525,0.009208,0.009208,0.009208
10,1363.77,0.82189,1.10327,1.08193,0.7177,0.65248,0.70263,0.55972,0.69604,0.88293,1.06747,0.009109,0.009109,0.009109
11,1508.25,0.81392,1.08552,1.07586,0.66508,0.64011,0.6584,0.5178,0.77527,1.04196,1.11322,0.00901,0.00901,0.00901
12,1649.29,0.80106,1.06079,1.07326,0.71742,0.64667,0.68515,0.55199,0.69382,0.92214,1.07165,0.008911,0.008911,0.008911
13,1783.23,0.79505,1.04213,1.06971,0.72252,0.67644,0.70378,0.57106,0.67646,0.85226,1.06408,0.008812,0.008812,0.008812
14,1917.99,0.79006,1.04476,1.06746,0.74881,0.67698,0.72013,0.58851,0.66442,0.83813,1.05148,0.008713,0.008713,0.008713
15,2052.13,0.77844,1.02258,1.06067,0.77502,0.69223,0.74545,0.61154,0.64198,0.75879,1.0436,0.008614,0.008614,0.008614
16,2183.18,0.77547,1.00905,1.0627,0.75332,0.68107,0.73213,0.59348,0.66628,0.81482,1.05339,0.008515,0.008515,0.008515
17,2316.7,0.77091,0.99292,1.06194,0.78024,0.6938,0.75149,0.62068,0.63165,0.73148,1.03696,0.008416,0.008416,0.008416
18,2449.33,0.76731,0.99083,1.05847,0.76789,0.69547,0.7442,0.61319,0.62203,0.73694,1.03489,0.008317,0.008317,0.008317
19,2580.6,0.76362,0.97537,1.05495,0.76073,0.69412,0.74765,0.61635,0.62537,0.74909,1.03591,0.008218,0.008218,0.008218
20,2713.78,0.75477,0.97142,1.05264,0.77803,0.70976,0.76028,0.62873,0.62163,0.71809,1.03019,0.008119,0.008119,0.008119
21,2849.61,0.75421,0.95918,1.05246,0.79332,0.7292,0.77543,0.64583,0.60676,0.67413,1.02809,0.00802,0.00802,0.00802
22,3023.1,0.7533,0.95528,1.05325,0.8016,0.71137,0.77279,0.64508,0.60335,0.66508,1.02632,0.007921,0.007921,0.007921
23,3165.88,0.74521,0.94019,1.04848,0.80943,0.71856,0.77581,0.64833,0.60474,0.65,1.0262,0.007822,0.007822,0.007822
24,3305.12,0.74643,0.93524,1.04807,0.80264,0.72862,0.77806,0.65093,0.59741,0.64616,1.02453,0.007723,0.007723,0.007723
