epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6015,1.03374,2.36342,1.21125,0.47008,0.41576,0.3071,0.21744,0.99377,2.38137,1.01604,0.000367797,0.000367797,0.000367797
2,124.345,0.93185,1.33064,1.15846,0.61616,0.35563,0.32909,0.22542,1.10185,2.41366,1.35056,0.000723515,0.000723515,0.000723515
3,204.365,0.92586,1.25866,1.15274,0.78739,0.30035,0.34311,0.24698,1.09767,2.1344,1.32601,0.00106457,0.00106457,0.00106457
4,296.874,0.90554,1.22136,1.13749,0.60251,0.44833,0.40365,0.30984,0.81979,1.40142,1.12537,0.00104501,0.00104501,0.00104501
5,372.906,0.8736,1.16071,1.12403,0.65263,0.41481,0.4074,0.29938,0.95016,1.65524,1.21795,0.00102301,0.00102301,0.00102301
6,447.186,0.84191,1.13838,1.10372,0.65491,0.42462,0.43676,0.33388,0.79665,1.51062,1.12449,0.00100101,0.00100101,0.00100101
7,520.705,0.83233,1.08688,1.0959,0.62091,0.42509,0.41115,0.31502,0.78559,1.46128,1.1184,0.000979013,0.000979013,0.000979013
8,606.569,0.80848,1.06968,1.08615,0.69444,0.44413,0.46594,0.36845,0.73355,1.19522,1.08071,0.000957015,0.000957015,0.000957015
9,699.226,0.79868,1.05063,1.08497,0.70372,0.44062,0.46664,0.36517,0.75655,1.31055,1.10851,0.000935018,0.000935018,0.000935018
10,791.202,0.79237,1.04124,1.08047,0.67615,0.45591,0.48543,0.36351,0.71722,1.30813,1.07829,0.00091302,0.00091302,0.00091302
11,888.154,0.77714,1.01144,1.07522,0.71837,0.46865,0.48462,0.3861,0.7306,1.09308,1.08652,0.000891022,0.000891022,0.000891022
12,976.926,0.76718,1.00793,1.06899,0.76397,0.4279,0.48638,0.38776,0.72148,1.19791,1.08659,0.000869024,0.000869024,0.000869024
13,1064.99,0.7661,0.99713,1.06863,0.73765,0.44493,0.50789,0.40761,0.6858,1.05982,1.07244,0.000847026,0.000847026,0.000847026
14,1159.01,0.75274,0.98679,1.06149,0.76295,0.44162,0.49845,0.40553,0.67726,1.07372,1.05676,0.000825029,0.000825029,0.000825029
